"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,profile_clinic_appointment,,text,"Study ID",,,,,,,,,,,,,
mrn,profile_clinic_appointment,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">DO NOT MODIFY PATIENT PROFILES AUTOMATICALLY POPULATED FROM ELECTRONIC HEALTH RECORDS.</SPAN>

",text,"Medical record number (MRN)",,,,,,y,,,LV,,,,
first_name,profile_clinic_appointment,,text,"First name",,,,,,y,,,LV,,,,
last_name,profile_clinic_appointment,,text,"Last name",,,,,,y,,,LV,,,,
dob,profile_clinic_appointment,,text,"Date of birth",,,,,,y,,,LV,,,,
sex,profile_clinic_appointment,,dropdown,Sex,"1, Male | 2, Female | 3, Unknown",,,,,,,,LV,,,,
race,profile_clinic_appointment,,dropdown,Race,"1, African-American or Black | 2, American Indian or Alaska Native | 3, Asian | 4, Native Hawaiian or other Pacific Islander | 5, White",,,,,,,,LV,,,,
ethnicity,profile_clinic_appointment,,dropdown,Ethnicity,"1, Hispanic or Latino | 2, Not Hispanic or Latino",,,,,,,,LV,,,,
street_address_line_1,profile_clinic_appointment,,text,"Street address line 1",,,,,,y,,,LV,,,,
street_address_line_2,profile_clinic_appointment,,text,"Street address line 2",,,,,,y,,,LV,,,,
city,profile_clinic_appointment,,text,City,,,,,,,,,LV,,,,
state,profile_clinic_appointment,,text,State,,,,,,,,,LV,,,,
zip_code,profile_clinic_appointment,,text,"Zip code",,,,,,y,,,LV,,,,
email_address,profile_clinic_appointment,,text,"Email address",,,,,,y,,,LV,,,,
phone_number,profile_clinic_appointment,,text,"Phone number",,,,,,y,,,LV,,,,
appointment_clinic,profile_clinic_appointment,,text,"Appointment clinic",,,,,,,,,LV,,,,
physician,profile_clinic_appointment,,text,"Physician scheduled to see",,,,,,,,,LV,,,,
appointment_date,profile_clinic_appointment,,text,"Appointment date",,,date_mdy,,,y,,,LV,,,,
appointment_time,profile_clinic_appointment,,text,"Appointment time",,,,,,,,,LV,,,,
preferred_language,profile_clinic_appointment,,text,"Preferred language",,,,,,,,,LV,,,,
volunteer,profile_clinic_appointment,,checkbox,"Volunteered to participate?","yes, Yes",,,,,,,,LV,,,,
exclude,profile_clinic_appointment,,checkbox,"Exclude? (Possible reasons for exclusion: duplicated record, responded ""unsubscribe"" to study emails, deceased, etc.)","yes, Yes",,,,,,,,LV,,,,
date_added,profile_clinic_appointment,,text,"Date added or updated",,,date_mdy,,,,,,LV,,,,
initial_outreach_date,initial_outreach,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

",text,"Initial outreach date",,,date_mdy,,,,,,LV,,,,
initial_outreach_means,initial_outreach,,radio,"Initial outreach means","letter, Letter | email, Email | in_person, In-person recruitment | employee_mailing_list, Employee mailing list | other, Other (specify in notes)",,,,,,,,LV,,,,
nih_invitation_code,initial_outreach,,text,"NIH Invitation Code",,,,,,,,,LV,,,,
initial_outreach_letter_returned,initial_outreach,,radio,"If letter gets returned","resent, Resent using new or corrected mailing address (specify new or corrected mailing address below) | no_action, No action, forwarding address not available | other, Other action (specify in notes)",,,,,,"[initial_outreach_means] = 'letter'",,LV,,,,
initial_outreach_new_mailing_address,initial_outreach,,notes,"New or corrected mailing address, if any",,,,,,y,"[initial_outreach_means] = 'letter'",,LV,,,,
initial_outreach_email_rejected,initial_outreach,,radio,"If email gets rejected","resent, Resent using new or corrected email address (specify new or corrected email address on Form 3) | no_action, No action, alternative email address not available | other, Other action (specify in notes)",,,,,,"[initial_outreach_means] = 'email'",,LV,,,,
initial_outreach_notes,initial_outreach,,notes,Notes,,,,,,,,,LV,,,,
preferred_methods_of_contact,followup_recruitment_contacts,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

",text,"Preferred method(s) of contact <SPAN style=""font-weight:normal"">(e.g., phone, text message, email)</SPAN>",,,,,,,,,LV,,,,
new_preferred_language,followup_recruitment_contacts,,text,"Updated language preference, if any <SPAN style=""color:Red"">(current preference: [preferred_language])</SPAN>",,,,,,,,,LV,,,,
new_phone_number,followup_recruitment_contacts,,text,"New or corrected phone number, if any <SPAN style=""color:Red"">(current phone number: [phone_number])</SPAN>",,,phone,,,y,,,LV,,,,
new_email_address,followup_recruitment_contacts,,text,"New or corrected email address, if any <SPAN style=""color:Red"">(current email address: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A>)</SPAN>",,,email,,,y,,,LV,,,,
contact_1_date_time,followup_recruitment_contacts,"
<SPAN style=""color:Red"">CONTACT #1</SPAN>

<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PHONE NUMBER: [phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED LANGUAGE: [preferred_language]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">INITIAL OUTREACH: [initial_outreach_means], [initial_outreach_date]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">CLINIC APPOINTMENT: [appointment_clinic], [appointment_date] [appointment_time]</SPAN>

",text,"Contact #1 date and time",,,datetime_mdy,,,,,,LV,,,,
contact_1_crc,followup_recruitment_contacts,,radio,"Who made contact #1?","Jennifer, Jennifer Encizo | Farheen, Farheen Faruk | Crystal, Crystal Lee | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Sarah, Sarah Pachman | Byron, Byron Villagran | System, Auto-Email by the System",,,,,,,,LV,,,,
contact_1_outcomes,followup_recruitment_contacts,,radio,"Contact #1 outcomes","called_spoke_with_participant, Called, spoke with the prospective participant | called_spoke_with_someone_else, Called, spoke with someone else | called_left_voicemail, Called, no answer, left voicemail | called_no_voicemail_or_full, Called, no answer, and no voicemail or voicemail full | called_wrong_number, Called, wrong # (if available, specify alternative phone # in ""new or corrected phone number"" to the top of this form) | email_sent_success, Email sent, success | email_rejected, Email rejected (if available, specify alternative email address in ""new or corrected email address"" to the top of this form) | no_phone_or_email, Neither phone # nor email address is available | other, Other (specify in notes below)",,,,,,,,LV,,,,
contact_1_notes,followup_recruitment_contacts,,notes,"Contact #1 notes",,,,,,,,,LV,,,,
contact_2,followup_recruitment_contacts,,checkbox,"Add contact #2?","yes, Yes",,,,,,"[contact_1_date_time] <> ''",,LV,,,,
contact_2_date_time,followup_recruitment_contacts,"
<SPAN style=""color:Red"">CONTACT #2</SPAN>

<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED METHOD(S) OF CONTACT: [preferred_methods_of_contact]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PHONE NUMBER: [phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED PHONE NUMBER: [new_phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED LANGUAGE: [preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">UPDATED LANGUAGE PREFERENCE: [new_preferred_language]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">INITIAL OUTREACH: [initial_outreach_means], [initial_outreach_date]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">CLINIC APPOINTMENT: [appointment_clinic], [appointment_date] [appointment_time]</SPAN>

",text,"Contact #2 date and time",,,datetime_mdy,,,,"[contact_2(yes)] = 1",,LV,,,,
contact_2_crc,followup_recruitment_contacts,,radio,"Who made contact #2?","Jennifer, Jennifer Encizo | Farheen, Farheen Faruk | Crystal, Crystal Lee | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Sarah, Sarah Pachman | Byron, Byron Villagran | System, Auto-Email by the System",,,,,,"[contact_2(yes)] = 1",,LV,,,,
contact_2_outcomes,followup_recruitment_contacts,,radio,"Contact #2 outcomes","called_spoke_with_participant, Called, spoke with the prospective participant | called_spoke_with_someone_else, Called, spoke with someone else | called_left_voicemail, Called, no answer, left voicemail | called_no_voicemail_or_full, Called, no answer, and no voicemail or voicemail full | called_wrong_number, Called, wrong # (if available, specify alternative phone # in ""new or corrected phone number"" to the top of this form) | email_sent_success, Email sent, success | email_rejected, Email rejected (if available, specify alternative email address in ""new or corrected email address"" to the top of this form) | no_phone_or_email, Neither phone # nor email address is available | other, Other (specify in notes below)",,,,,,"[contact_2(yes)] = 1",,LV,,,,
contact_2_notes,followup_recruitment_contacts,,notes,"Contact #2 notes",,,,,,,"[contact_2(yes)] = 1",,LV,,,,
contact_3,followup_recruitment_contacts,,checkbox,"Add contact #3?","yes, Yes",,,,,,"[contact_2_date_time] <> ''",,LV,,,,
contact_3_date_time,followup_recruitment_contacts,"
<SPAN style=""color:Red"">CONTACT #3</SPAN>

<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED METHOD(S) OF CONTACT: [preferred_methods_of_contact]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PHONE NUMBER: [phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED PHONE NUMBER: [new_phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED LANGUAGE: [preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">UPDATED LANGUAGE PREFERENCE: [new_preferred_language]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">INITIAL OUTREACH: [initial_outreach_means], [initial_outreach_date]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">CLINIC APPOINTMENT: [appointment_clinic], [appointment_date] [appointment_time]</SPAN>

",text,"Contact #3 date and time",,,datetime_mdy,,,,"[contact_3(yes)] = 1",,LV,,,,
contact_3_crc,followup_recruitment_contacts,,radio,"Who made contact #3?","Jennifer, Jennifer Encizo | Farheen, Farheen Faruk | Crystal, Crystal Lee | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Sarah, Sarah Pachman | Byron, Byron Villagran | System, Auto-Email by the System",,,,,,"[contact_3(yes)] = 1",,LV,,,,
contact_3_outcomes,followup_recruitment_contacts,,radio,"Contact #3 outcomes","called_spoke_with_participant, Called, spoke with the prospective participant | called_spoke_with_someone_else, Called, spoke with someone else | called_left_voicemail, Called, no answer, left voicemail | called_no_voicemail_or_full, Called, no answer, and no voicemail or voicemail full | called_wrong_number, Called, wrong # (if available, specify alternative phone # in ""new or corrected phone number"" to the top of this form) | email_sent_success, Email sent, success | email_rejected, Email rejected (if available, specify alternative email address in ""new or corrected email address"" to the top of this form) | no_phone_or_email, Neither phone # nor email address is available | other, Other (specify in notes below)",,,,,,"[contact_3(yes)] = 1",,LV,,,,
contact_3_notes,followup_recruitment_contacts,,notes,"Contact #3 notes",,,,,,,"[contact_3(yes)] = 1",,LV,,,,
contact_4,followup_recruitment_contacts,,checkbox,"Add contact #4?","yes, Yes",,,,,,"[contact_3_date_time] <> ''",,LV,,,,
contact_4_date_time,followup_recruitment_contacts,"
<SPAN style=""color:Red"">CONTACT #4</SPAN>

<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED METHOD(S) OF CONTACT: [preferred_methods_of_contact]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">PHONE NUMBER: [phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED PHONE NUMBER: [new_phone_number]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[email_address]%3e"" style=""color:DeepSkyBlue"">[email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">NEW/CORRECTED EMAIL ADDRESS: <A href=""mailto:[first_name]%20[last_name]%20%3c[new_email_address]%3e"" style=""color:DeepSkyBlue"">[new_email_address]</A></SPAN>

<SPAN style=""font-weight:normal;color:Red"">PREFERRED LANGUAGE: [preferred_language]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">UPDATED LANGUAGE PREFERENCE: [new_preferred_language]</SPAN><HR style=""background-color:LightGray;height:1px""><SPAN style=""font-weight:normal;color:Red"">INITIAL OUTREACH: [initial_outreach_means], [initial_outreach_date]</SPAN>

<SPAN style=""font-weight:normal;color:Red"">CLINIC APPOINTMENT: [appointment_clinic], [appointment_date] [appointment_time]</SPAN>

",text,"Contact #4 date and time",,,datetime_mdy,,,,"[contact_4(yes)] = 1",,LV,,,,
contact_4_crc,followup_recruitment_contacts,,radio,"Who made contact #4?","Jennifer, Jennifer Encizo | Farheen, Farheen Faruk | Crystal, Crystal Lee | Irene, Irene Masunaka | Gabriela, Gabriela Medina | Maira, Maira Moctezuma | Sarah, Sarah Pachman | Byron, Byron Villagran | System, Auto-Email by the System",,,,,,"[contact_4(yes)] = 1",,LV,,,,
contact_4_outcomes,followup_recruitment_contacts,,radio,"Contact #4 outcomes","called_spoke_with_participant, Called, spoke with the prospective participant | called_spoke_with_someone_else, Called, spoke with someone else | called_left_voicemail, Called, no answer, left voicemail | called_no_voicemail_or_full, Called, no answer, and no voicemail or voicemail full | called_wrong_number, Called, wrong # (if available, specify alternative phone # in ""new or corrected phone number"" to the top of this form) | email_sent_success, Email sent, success | email_rejected, Email rejected (if available, specify alternative email address in ""new or corrected email address"" to the top of this form) | no_phone_or_email, Neither phone # nor email address is available | other, Other (specify in notes below)",,,,,,"[contact_4(yes)] = 1",,LV,,,,
contact_4_notes,followup_recruitment_contacts,,notes,"Contact #4 notes",,,,,,,"[contact_4(yes)] = 1",,LV,,,,
decision_date,decision,"
<SPAN style=""color:Red"">PARTICIPANT NAME: [last_name], [first_name]</SPAN>

<SPAN style=""color:Red"">DATE OF BIRTH: [dob]</SPAN>

",text,"Decision date",,,date_mdy,,,,,,LV,,,,
decision,decision,,radio,"Agreed to participate?","yes, Yes | no, No | unsure_contact_again, Unsure, contact again | unsure_more_info, Unsure, more information is needed (specify in notes) | lost_to_follow_up, Lost to follow up | not_uci_patient, Not UCI Health patient",,,,,,,,LV,,,,
decision_means,decision,,radio,"Decision confirmed by what means?","phone, Phone | text_message, Text message | email, Email | in_person, In-person during in-person recruitment | other, Other methods (specify in notes)",,,,,,,,LV,,,,
